    Julian Date              UTC           RA_JPL          DEC_JPL           RA_LOW          DEC_LOW          RA_HIGH         DEC_HIGH  RA_JPL-RA_LOW (arcsec)  DEC_JPL-DEC_LOW (arcsec)  RA_JPL-RA_HIGH (arcsec)  DEC_JPL-DEC_HIGH (arcsec)
2454101.500000000,     0.000000000,    18.731111111,   -23.055305556,    18.731841445,   -23.054677436,    18.731087691,   -23.055324738,   -39.438029600,    -2.261228760,     1.264668612,     0.069055922
2454101.541666667,     0.999999996,    18.734177778,   -23.052083333,    18.734909419,   -23.051454187,    18.734154677,   -23.052105419,   -39.508603492,    -2.264925026,     1.247419856,     0.079507037
2454101.583333333,     1.999999993,    18.737244444,   -23.048833333,    18.737977248,   -23.048217618,    18.737221515,   -23.048872807,   -39.571407792,    -2.216574164,     1.238206670,     0.142105935
2454101.625000000,     2.999999989,    18.740311111,   -23.045611111,    18.741044933,   -23.044967732,    18.740288203,   -23.045626906,   -39.626408363,    -2.316166295,     1.237057943,     0.056862485
2454101.666666666,     3.999999985,    18.743377778,   -23.042333333,    18.744112474,   -23.041704530,    18.743354741,   -23.042367718,   -39.673571077,    -2.263691501,     1.244002527,     0.123786588
2454101.708333333,     4.999999981,    18.746444444,   -23.039055556,    18.747179868,   -23.038428017,    18.746421128,   -23.039095247,   -39.712861852,    -2.259139821,     1.259069228,     0.142888173
2454101.749999999,     5.999999978,    18.749508333,   -23.035777778,    18.750247116,   -23.035138194,    18.749487365,   -23.035809494,   -39.894246616,    -2.302501251,     1.132286815,     0.114177200
2454101.791666666,     6.999999974,    18.752575000,   -23.032472222,    18.753314217,   -23.031835065,    18.752553450,   -23.032510462,   -39.917691338,    -2.293765744,     1.163684014,     0.137663660
2454101.833333332,     7.999999970,    18.755641667,   -23.029166667,    18.756381170,   -23.028518632,    18.755619384,   -23.029198155,   -39.933162001,    -2.332923212,     1.203289506,     0.113357574
2454101.874999999,     8.999999966,    18.758708333,   -23.025833333,    18.759447975,   -23.025188899,    18.758685164,   -23.025872575,   -39.940624631,    -2.319963525,     1.251131940,     0.141268993
2454101.916666665,     9.999999963,    18.761772222,   -23.022500000,    18.762514630,   -23.021845868,    18.761750792,   -23.022533724,   -40.090045268,    -2.354876509,     1.157239920,     0.121407998
2454101.958333332,    10.999999959,    18.764838889,   -23.019166667,    18.765581137,   -23.018489541,    18.764816266,   -23.019181607,   -40.081389982,    -2.437651950,     1.221642014,     0.053784700
2454101.999999998,    11.999999955,    18.767902778,   -23.015777778,    18.768647493,   -23.015119922,    18.767881586,   -23.015816225,   -40.214624880,    -2.368279591,     1.144366747,     0.138409241
2454102.041666665,    12.999999952,    18.770969444,   -23.012416667,    18.771713698,   -23.011737014,    18.770946751,   -23.012437581,   -40.189716084,    -2.446749133,     1.225442612,     0.075291793
2454102.083333331,    13.999999948,    18.774033333,   -23.009027778,    18.774779752,   -23.008340819,    18.774011761,   -23.009045678,   -40.306629757,    -2.473050234,     1.164898066,     0.064442558
2454102.124999998,    14.999999944,    18.777100000,   -23.005611111,    18.777845654,   -23.004931341,    18.777076616,   -23.005640520,   -40.265332076,    -2.447172511,     1.262761522,     0.105871768
2454102.166666664,    15.999999940,    18.780163889,   -23.002194444,    18.780911404,   -23.001508582,    18.780141314,   -23.002222108,   -40.365789260,    -2.469105539,     1.219061363,     0.099589686
2454102.208333331,    16.999999937,    18.783227778,   -22.998750000,    18.783976999,   -22.998072545,    18.783205855,   -22.998790446,   -40.457967544,    -2.438838851,     1.183825939,     0.145606604
2454102.249999997,    17.999999933,    18.786291667,   -22.995305556,    18.787042441,   -22.994623233,    18.786270239,   -22.995345537,   -40.541833203,    -2.456361937,     1.157083559,     0.143932845
2454102.291666664,    18.999999929,    18.789355556,   -22.991861111,    18.790107729,   -22.991160649,    18.789334466,   -22.991887383,   -40.617352528,    -2.521664246,     1.138862500,     0.094578763
2454102.333333330,    19.999999925,    18.792419444,   -22.988388889,    18.793172861,   -22.987684796,    18.792398533,   -22.988415987,   -40.684491852,    -2.534735185,     1.129191009,     0.097554742
2454102.374999997,    20.999999922,    18.795483333,   -22.984888889,    18.796237837,   -22.984195677,    18.795462443,   -22.984931353,   -40.743217525,    -2.495564120,     1.128097299,     0.152871194
2454102.416666663,    21.999999918,    18.798547222,   -22.981416667,    18.799302657,   -22.980693294,    18.798526192,   -22.981433483,   -40.793495930,    -2.604140373,     1.135609547,     0.060538563
2454102.458333330,    22.999999914,    18.801611111,   -22.977888889,    18.802367320,   -22.977177652,    18.801589782,   -22.977922380,   -40.835293484,    -2.560453227,     1.151755901,     0.120567325
2454102.499999996,    23.999999911,    18.804675000,   -22.974361111,    18.805431825,   -22.973648752,    18.804653212,   -22.974398047,   -40.868576622,    -2.564491920,     1.176564480,     0.132967983
2454102.541666663,     0.999999907,    18.807738889,   -22.970833333,    18.808496172,   -22.970106598,    18.807716480,   -22.970860486,   -40.893311822,    -2.616245651,     1.210063367,     0.097751072
2454102.583333329,     1.999999903,    18.810802778,   -22.967277778,    18.811560360,   -22.966551193,    18.810779587,   -22.967309702,   -40.909465576,    -2.615703576,     1.252280621,     0.114927158
2454102.624999996,     2.999999899,    18.813863889,   -22.963722222,    18.814624389,   -22.962982540,    18.813842533,   -22.963745696,   -41.067004419,    -2.662854809,     1.153244263,     0.084506836
2454102.666666662,     3.999999896,    18.816927778,   -22.960138889,    18.817688257,   -22.959400642,    18.816905315,   -22.960168472,   -41.065894905,    -2.657688424,     1.212982300,     0.106500732
