19 13 54.24 -22 21 06.8
19 14 05.17 -22 20 47.5
19 14 16.09 -22 20 28.2
19 14 27.02 -22 20 08.8
19 14 37.95 -22 19 49.4
19 14 48.87 -22 19 29.9
19 14 59.80 -22 19 10.4
19 15 10.72 -22 18 50.9
19 15 21.64 -22 18 31.2
19 15 32.56 -22 18 11.6
19 15 43.49 -22 17 51.9
19 15 54.41 -22 17 32.2
19 16 05.32 -22 17 12.4
19 16 16.24 -22 16 52.5
19 16 27.16 -22 16 32.7
19 16 38.08 -22 16 12.7
19 16 48.99 -22 15 52.8
19 16 59.91 -22 15 32.8
19 17 10.82 -22 15 12.7
19 17 21.74 -22 14 52.6
19 17 32.65 -22 14 32.4
19 17 43.56 -22 14 12.2
19 17 54.47 -22 13 52.0
19 18 05.38 -22 13 31.7
19 18 16.29 -22 13 11.4
19 18 27.20 -22 12 51.0
19 18 38.11 -22 12 30.6
19 18 49.01 -22 12 10.1
19 18 59.92 -22 11 49.6
19 19 10.82 -22 11 29.0
19 19 21.73 -22 11 08.4
19 19 32.63 -22 10 47.8
19 19 43.53 -22 10 27.1
19 19 54.43 -22 10 06.3
19 20 05.33 -22 09 45.6
19 20 16.23 -22 09 24.7
19 20 27.13 -22 09 03.8
19 20 38.03 -22 08 42.9
19 20 48.92 -22 08 22.0
19 20 59.82 -22 08 00.9
19 21 10.71 -22 07 39.9
19 21 21.61 -22 07 18.8
19 21 32.50 -22 06 57.6
19 21 43.39 -22 06 36.4
19 21 54.28 -22 06 15.2
19 22 05.17 -22 05 53.9
19 22 16.06 -22 05 32.6
19 22 26.95 -22 05 11.2
19 22 37.84 -22 04 49.8
19 22 48.73 -22 04 28.3
19 22 59.61 -22 04 06.8
19 23 10.50 -22 03 45.3
19 23 21.38 -22 03 23.7
19 23 32.26 -22 03 02.0
19 23 43.15 -22 02 40.3
19 23 54.03 -22 02 18.6
19 24 04.91 -22 01 56.8
19 24 15.79 -22 01 35.0
19 24 26.66 -22 01 13.1
19 24 37.54 -22 00 51.2
19 24 48.42 -22 00 29.3
19 24 59.29 -22 00 07.2
19 25 10.17 -21 59 45.2
19 25 21.04 -21 59 23.1
19 25 31.91 -21 59 01.0
19 25 42.79 -21 58 38.8
19 25 53.66 -21 58 16.6
19 26 04.53 -21 57 54.3
19 26 15.40 -21 57 32.0
19 26 26.26 -21 57 09.6
19 26 37.13 -21 56 47.2
19 26 48.00 -21 56 24.7
19 26 58.86 -21 56 02.3
19 27 09.73 -21 55 39.7
19 27 20.59 -21 55 17.1
19 27 31.45 -21 54 54.5
19 27 42.31 -21 54 31.8
19 27 53.17 -21 54 09.1
19 28 04.03 -21 53 46.3
19 28 14.89 -21 53 23.5
19 28 25.75 -21 53 00.7
19 28 36.60 -21 52 37.8
19 28 47.46 -21 52 14.8
19 28 58.31 -21 51 51.9
19 29 09.17 -21 51 28.8
19 29 20.02 -21 51 05.7
19 29 30.87 -21 50 42.6
19 29 41.72 -21 50 19.5
19 29 52.57 -21 49 56.3
19 30 03.42 -21 49 33.0
19 30 14.27 -21 49 09.7
19 30 25.12 -21 48 46.4
19 30 35.96 -21 48 23.0
19 30 46.81 -21 47 59.6
19 30 57.65 -21 47 36.1
19 31 08.49 -21 47 12.6
19 31 19.33 -21 46 49.0
19 31 30.17 -21 46 25.4
19 31 41.01 -21 46 01.7
19 31 51.85 -21 45 38.0
19 32 02.69 -21 45 14.3
19 32 13.53 -21 44 50.5
19 32 24.36 -21 44 26.7
19 32 35.20 -21 44 02.8
19 32 46.03 -21 43 38.9
19 32 56.86 -21 43 15.0
19 33 07.70 -21 42 51.0
19 33 18.53 -21 42 26.9
19 33 29.36 -21 42 02.8
19 33 40.19 -21 41 38.7
19 33 51.01 -21 41 14.5
19 34 01.84 -21 40 50.3
19 34 12.67 -21 40 26.0
19 34 23.49 -21 40 01.7
19 34 34.31 -21 39 37.3
19 34 45.14 -21 39 12.9
19 34 55.96 -21 38 48.5
19 35 06.78 -21 38 24.0
19 35 17.60 -21 37 59.5
19 35 28.42 -21 37 34.9
19 35 39.23 -21 37 10.3
19 35 50.05 -21 36 45.6
19 36 00.86 -21 36 20.9
19 36 11.68 -21 35 56.2
19 36 22.49 -21 35 31.4
19 36 33.30 -21 35 06.6
19 36 44.12 -21 34 41.7
19 36 54.93 -21 34 16.7
19 37 05.73 -21 33 51.8
19 37 16.54 -21 33 26.8
19 37 27.35 -21 33 01.7
19 37 38.16 -21 32 36.6
19 37 48.96 -21 32 11.5
19 37 59.76 -21 31 46.3
19 38 10.57 -21 31 21.1
19 38 21.37 -21 30 55.8
19 38 32.17 -21 30 30.5
19 38 42.97 -21 30 05.1
19 38 53.77 -21 29 39.7
19 39 04.56 -21 29 14.3
19 39 15.36 -21 28 48.8
19 39 26.16 -21 28 23.3
19 39 36.95 -21 27 57.7
19 39 47.74 -21 27 32.1
19 39 58.54 -21 27 06.4
19 40 09.33 -21 26 40.7
19 40 20.12 -21 26 14.9
19 40 30.91 -21 25 49.2
19 40 41.69 -21 25 23.3
19 40 52.48 -21 24 57.4
19 41 03.27 -21 24 31.5
