20080313, 0.000000,   2454538.500000, 2008.227397,  -0.342810, 33.000000, 0.000000, -33.342810, -33.000000, 32.184000
20080314, 0.000000,   2454539.500000, 2008.230137,  -0.343328, 33.000000, 0.000000, -33.343328, -33.000000, 32.184000
20080315, 0.000000,   2454540.500000, 2008.232877,  -0.343778, 33.000000, 0.000000, -33.343778, -33.000000, 32.184000
20080316, 0.000000,   2454541.500000, 2008.235616,  -0.344287, 33.000000, 0.000000, -33.344287, -33.000000, 32.184000
20080317, 0.000000,   2454542.500000, 2008.238356,  -0.344941, 33.000000, 0.000000, -33.344941, -33.000000, 32.184000
20080318, 0.000000,   2454543.500000, 2008.241096,  -0.345813, 33.000000, 0.000000, -33.345813, -33.000000, 32.184000
20080319, 0.000000,   2454544.500000, 2008.243836,  -0.346942, 33.000000, 0.000000, -33.346942, -33.000000, 32.184000
20080320, 0.000000,   2454545.500000, 2008.246575,  -0.348285, 33.000000, 0.000000, -33.348285, -33.000000, 32.184000
20080321, 0.000000,   2454546.500000, 2008.249315,  -0.349745, 33.000000, 0.000000, -33.349745, -33.000000, 32.184000
20080322, 0.000000,   2454547.500000, 2008.252055,  -0.351222, 33.000000, 0.000000, -33.351222, -33.000000, 32.184000
20080323, 0.000000,   2454548.500000, 2008.254795,  -0.352669, 33.000000, 0.000000, -33.352669, -33.000000, 32.184000
20080324, 0.000000,   2454549.500000, 2008.257534,  -0.354043, 33.000000, 0.000000, -33.354043, -33.000000, 32.184000
20080325, 0.000000,   2454550.500000, 2008.260274,  -0.355278, 33.000000, 0.000000, -33.355278, -33.000000, 32.184000
20080326, 0.000000,   2454551.500000, 2008.263014,  -0.356340, 33.000000, 0.000000, -33.356340, -33.000000, 32.184000
20080327, 0.000000,   2454552.500000, 2008.265753,  -0.357223, 33.000000, 0.000000, -33.357223, -33.000000, 32.184000
20080328, 0.000000,   2454553.500000, 2008.268493,  -0.357958, 33.000000, 0.000000, -33.357958, -33.000000, 32.184000
20080329, 0.000000,   2454554.500000, 2008.271233,  -0.358608, 33.000000, 0.000000, -33.358608, -33.000000, 32.184000
20080330, 0.000000,   2454555.500000, 2008.273973,  -0.359264, 33.000000, 0.000000, -33.359263, -33.000000, 32.184000
20080331, 0.000000,   2454556.500000, 2008.276712,  -0.360025, 33.000000, 0.000000, -33.360025, -33.000000, 32.184000
20080401, 0.000000,   2454557.500000, 2008.279452,  -0.360984, 33.000000, 0.000000, -33.360984, -33.000000, 32.184000
20080402, 0.000000,   2454558.500000, 2008.282192,  -0.362203, 33.000000, 0.000000, -33.362203, -33.000000, 32.184000
20080403, 0.000000,   2454559.500000, 2008.284932,  -0.363656, 33.000000, 0.000000, -33.363656, -33.000000, 32.184000
20080404, 0.000000,   2454560.500000, 2008.287671,  -0.365296, 33.000000, 0.000000, -33.365296, -33.000000, 32.184000
20080405, 0.000000,   2454561.500000, 2008.290411,  -0.367115, 33.000000, 0.000000, -33.367115, -33.000000, 32.184000
20080406, 0.000000,   2454562.500000, 2008.293151,  -0.369046, 33.000000, 0.000000, -33.369046, -33.000000, 32.184000
20080407, 0.000000,   2454563.500000, 2008.295890,  -0.370804, 33.000000, 0.000000, -33.370804, -33.000000, 32.184000
20080408, 0.000000,   2454564.500000, 2008.298630,  -0.372204, 33.000000, 0.000000, -33.372204, -33.000000, 32.184000
